                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.99224,                 0.7188,                0.81586,                0.95397,                0.99557,                0.98667,                0.81442,                 0.7809,                0.57617,                0.82648,             0.00081984,             0.00081984,             0.00081984
                     98,                 1.0589,                0.74909,                0.83307,                0.95397,                0.99557,                0.98667,                0.81442,                 0.7809,                0.57617,                0.82648,             0.00082438,             0.00082438,             0.00082438
                     99,                 1.0041,                0.68411,                0.84505,                0.95397,                0.99557,                0.98667,                0.81442,                 0.7809,                0.57617,                0.82648,             0.00082883,             0.00082883,             0.00082883
                    100,                0.93582,                0.67072,                0.83802,                  0.936,                0.98509,                0.98376,                0.80748,                0.82525,                0.54188,                0.83263,             0.00083321,             0.00083321,             0.00083321
                    101,                 1.0163,                0.75055,                0.85452,                  0.936,                0.98509,                0.98376,                0.80748,                0.82525,                0.54188,                0.83263,              0.0008375,              0.0008375,              0.0008375
                    102,                0.93913,                0.65233,                0.83095,                  0.936,                0.98509,                0.98376,                0.80748,                0.82525,                0.54188,                0.83263,              0.0008375,              0.0008375,              0.0008375
                    103,                0.97416,                0.67492,                0.82847,                  0.936,                0.98509,                0.98376,                0.80748,                0.82525,                0.54188,                0.83263,             0.00083337,             0.00083337,             0.00083337
                    104,                 1.0031,                0.69628,                0.85377,                 0.9574,                      1,                0.99083,                0.78634,                0.87642,                0.55184,                0.83972,             0.00082925,             0.00082925,             0.00082925
                    105,                0.90476,                0.63863,                0.83964,                 0.9574,                      1,                0.99083,                0.78634,                0.87642,                0.55184,                0.83972,             0.00082513,             0.00082513,             0.00082513
                    106,                0.91497,                0.65971,                0.83527,                 0.9574,                      1,                0.99083,                0.78634,                0.87642,                0.55184,                0.83972,               0.000821,               0.000821,               0.000821
                    107,                0.92296,                0.67483,                0.85368,                 0.9574,                      1,                0.99083,                0.78634,                0.87642,                0.55184,                0.83972,             0.00081688,             0.00081688,             0.00081688
                    108,                0.90694,                0.63344,                0.84318,                0.96116,                      1,                0.99229,                0.82156,                0.87541,                0.63773,                0.83724,             0.00081275,             0.00081275,             0.00081275
                    109,                 1.0488,                0.59218,                0.84495,                0.96116,                      1,                0.99229,                0.82156,                0.87541,                0.63773,                0.83724,             0.00080863,             0.00080863,             0.00080863
                    110,                0.81578,                0.58911,                0.85212,                0.96116,                      1,                0.99229,                0.82156,                0.87541,                0.63773,                0.83724,              0.0008045,              0.0008045,              0.0008045
                    111,                0.88531,                0.56998,                0.85368,                0.96116,                      1,                0.99229,                0.82156,                0.87541,                0.63773,                0.83724,             0.00080038,             0.00080038,             0.00080038
                    112,                0.81812,                0.56587,                0.85885,                0.97076,                 0.9897,                0.99375,                0.81798,                0.74536,                0.57817,                0.81958,             0.00079625,             0.00079625,             0.00079625
                    113,                 1.0529,                0.61166,                0.86095,                0.97076,                 0.9897,                0.99375,                0.81798,                0.74536,                0.57817,                0.81958,             0.00079213,             0.00079213,             0.00079213
                    114,                 1.0799,                0.64363,                0.85462,                0.97076,                 0.9897,                0.99375,                0.81798,                0.74536,                0.57817,                0.81958,               0.000788,               0.000788,               0.000788
                    115,                 1.0863,                0.62849,                0.85247,                0.97076,                 0.9897,                0.99375,                0.81798,                0.74536,                0.57817,                0.81958,             0.00078387,             0.00078387,             0.00078387
                    116,                0.92457,                0.57945,                0.84337,                0.96403,                0.99871,                0.99375,                0.81531,                0.76691,                0.53831,                0.82097,             0.00077975,             0.00077975,             0.00077975
                    117,                 1.0055,                0.56732,                0.85124,                0.96403,                0.99871,                0.99375,                0.81531,                0.76691,                0.53831,                0.82097,             0.00077563,             0.00077563,             0.00077563
                    118,                 1.0572,                0.62746,                0.87555,                0.96403,                0.99871,                0.99375,                0.81531,                0.76691,                0.53831,                0.82097,              0.0007715,              0.0007715,              0.0007715
